Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),P/E,P/B,Div Yield,Total Returns Index
18-Jan-2012,4977.75,4980.65,4931.05,4955.8,211198796,7424.79,17.81,2.9,1.54,6289.01
19-Jan-2012,4995,5023.8,4991.4,5018.4,203487608,6634.33,18.03,2.94,1.53,6368.43
20-Jan-2012,5044.85,5064.15,5004.3,5048.6,221048007,8120.35,18.14,2.96,1.52,6406.93
23-Jan-2012,5025.35,5059.55,5021.35,5046.25,158177571,5934.04,18.14,2.96,1.52,6403.94
24-Jan-2012,5064.8,5141.05,5049.8,5127.35,202006565,8172.43,18.28,3.01,1.49,6507.2
25-Jan-2012,5151.5,5174.15,5130.25,5158.3,219175709,8156.04,18.38,2.99,1.51,6547.44
27-Jan-2012,5216.75,5217,5162.4,5204.7,215923377,7881.15,18.55,3.02,1.49,6606.36
30-Jan-2012,5163.55,5166.15,5076.7,5087.3,181141437,6181.32,18.13,2.95,1.53,6457.3
31-Jan-2012,5125.25,5215.4,5120.15,5199.25,215770719,8075.54,18.53,3.02,1.49,6600.95
01-Feb-2012,5198.15,5244.6,5159,5235.7,234899358,8066.68,18.66,3.04,1.48,6647.46
02-Feb-2012,5272.1,5289.95,5225.75,5269.9,337960651,11126.39,18.77,3.06,1.47,6690.89
03-Feb-2012,5276.1,5334.85,5255.55,5325.85,217358188,7573.02,18.97,3.03,1.48,6761.89
06-Feb-2012,5379.45,5390.05,5327.25,5361.65,215080487,7703.06,19.13,3.05,1.47,6807.35
07-Feb-2012,5412.95,5413.35,5322.95,5335.15,181194561,6797.14,19.02,3.04,1.47,6773.74
08-Feb-2012,5343.8,5396.9,5325.2,5368.15,236135416,9359.98,19.14,3.04,1.48,6815.63
09-Feb-2012,5343.05,5423.4,5338.9,5412.35,255306965,8143.96,19.3,3.06,1.45,6871.73
10-Feb-2012,5399.8,5427.75,5341.05,5381.6,225352093,7396.34,19,3.02,1.47,6832.73
13-Feb-2012,5382.1,5421.05,5351.4,5390.2,181561910,6738,18.94,3.03,1.47,6844.45
14-Feb-2012,5380.8,5428.05,5377.95,5416.05,201409996,6693.43,18.95,3.04,1.46,6877.25
15-Feb-2012,5460.6,5542.1,5460.6,5531.95,314366096,9958.28,19.35,3.11,1.43,7024.67
16-Feb-2012,5513.75,5531.4,5483.75,5521.95,270060477,9053.45,19.34,3.1,1.43,7011.96
17-Feb-2012,5574.2,5606.7,5545.2,5564.3,329307516,11512.01,19.49,3.12,1.42,7065.73
21-Feb-2012,5561.9,5621.5,5561.75,5607.15,231132126,8169.38,19.64,3.16,1.41,7120.15
22-Feb-2012,5609.75,5629.95,5491.35,5505.35,263013427,9694.44,19.29,3.1,1.44,6990.92
23-Feb-2012,5490.05,5537.4,5460.8,5483.3,307246519,9987.65,19.21,3.09,1.44,6962.87
24-Feb-2012,5479.15,5521.4,5405.9,5429.3,364660634,17356.76,19.02,3.06,1.46,6894.3
27-Feb-2012,5448.1,5449.8,5268.15,5281.2,235318961,7706.81,18.5,2.98,1.5,6706.26
28-Feb-2012,5310.5,5391.1,5306.45,5375.5,208133889,7815.9,19.05,3.03,1.47,6826
29-Feb-2012,5424.95,5458.8,5352.25,5385.2,226022232,8454.41,19.09,3.04,1.47,6838.32
01-Mar-2012,5366,5372.45,5297.5,5339.75,196867905,6847.63,18.92,3.01,1.48,6780.64
02-Mar-2012,5369.45,5392.55,5315.05,5359.35,185021526,6768.52,18.99,3.04,1.48,6805.51
03-Mar-2012,5360.05,5369.6,5353.4,5359.4,16770991,429.35,18.99,3.04,1.48,6805.53
05-Mar-2012,5342.55,5344.5,5265.7,5280.35,196421155,6036.63,18.71,2.99,1.5,6705.16
06-Mar-2012,5266,5382.05,5206.4,5222.4,290396014,9319.01,18.51,2.96,1.52,6632.31
07-Mar-2012,5207.05,5243.85,5171.45,5220.45,230726017,7173.14,18.5,2.96,1.52,6629.8
09-Mar-2012,5294.1,5342.3,5291.6,5333.55,203005845,7080.66,18.9,3.02,1.48,6773.46
12-Mar-2012,5420.1,5421.9,5327.3,5359.55,176668237,6484.38,18.94,3.05,1.49,6806.96
13-Mar-2012,5391.05,5438.65,5390.8,5429.5,179965296,5907.14,19.18,3.09,1.47,6895.82
14-Mar-2012,5490.55,5499.4,5437.8,5463.9,181714070,7345.67,19.31,3.1,1.46,6939.53
15-Mar-2012,5462.5,5462.5,5362.3,5380.5,160257651,5961.15,19.01,3.06,1.48,6835.49
16-Mar-2012,5380.35,5445.65,5305,5317.9,267521147,9432.07,18.79,3.02,1.5,6755.99
19-Mar-2012,5337.35,5340.7,5238.55,5257.05,179877454,6275.89,18.58,2.99,1.51,6679.55
20-Mar-2012,5257.15,5297.35,5233.25,5274.85,181345285,6158,18.64,3,1.51,6702.15
21-Mar-2012,5267.2,5372.35,5256,5364.95,199787985,6807.02,18.96,3.05,1.48,6816.62
22-Mar-2012,5361.1,5385.95,5205.65,5228.45,205581062,7359.89,18.47,2.97,1.52,6643.19
23-Mar-2012,5255.65,5312,5220,5278.2,172738574,6371.46,18.65,3,1.51,6706.42
26-Mar-2012,5274.35,5274.95,5174.9,5184.25,169785835,5582.28,18.32,2.95,1.54,6587.03
27-Mar-2012,5242.95,5277.95,5184.65,5243.15,208775421,7445.92,18.53,2.98,1.52,6661.84
28-Mar-2012,5231.7,5236.55,5169.6,5194.75,145803597,5411.63,18.36,2.95,1.53,6600.4
29-Mar-2012,5145.95,5194.3,5135.95,5178.85,242557889,8632.05,18.3,2.94,1.54,6580.17
30-Mar-2012,5206.6,5307.1,5203.65,5295.55,164790056,6082.93,18.71,3.01,1.5,6728.46
02-Apr-2012,5296.35,5331.55,5278.8,5317.9,134538287,4583.68,18.79,3.02,1.5,6756.86
03-Apr-2012,5353.2,5378.75,5344.45,5358.5,152496489,5256.86,18.93,3.04,1.49,6808.45
04-Apr-2012,5328.65,5338.4,5305.3,5322.9,122106162,4084.37,18.81,3.02,1.5,6763.19
09-Apr-2012,5282.5,5287.9,5228,5234.4,111914936,3680.04,18.5,2.97,1.52,6650.73
10-Apr-2012,5254.1,5255.8,5211.85,5243.6,156106794,4886.48,18.53,2.98,1.52,6662.44
11-Apr-2012,5209.45,5263.65,5190.8,5226.85,167013527,5585.7,18.47,2.97,1.52,6641.17
